image;ground_truth;prediction;CER_score;CER_formula
test001_1.jpg;B 9140 BCD;B S140 BCD;0.1;CER = (1 + 0 + 0) / 10
test001_2.jpg;B 2407 UZO;B 2407 UZ0;0.1;CER = (1 + 0 + 0) / 10
test001_3.jpg;B 2842 PKM;B 2842 PKM;0.0;CER = (0 + 0 + 0) / 10
test002_1.jpg;BG 1352 AE;BC 1352 AE;0.1;CER = (1 + 0 + 0) / 10
test003_1.jpg;B 2634 UZF;B2634 UZF;0.1;CER = (0 + 1 + 0) / 10
test003_2.jpg;B 1995 JVK;B 1995 JVK C1-28;0.6;CER = (0 + 0 + 6) / 10
test004_1.jpg;B 9062 VEH;B·9062 YEH;0.2;CER = (2 + 0 + 0) / 10
test005_1.jpg;DD 8798 KM;DD 2798 KM;0.1;CER = (1 + 0 + 0) / 10
test006_1.jpg;T 1329 KC;T·1329·KC;0.2222;CER = (2 + 0 + 0) / 9
test007_1.jpg;AD 8865 EE;AD 8865 EE;0.0;CER = (0 + 0 + 0) / 10
test008_1.jpg;DK 1157 AAB;DK 1157 AABB;0.0909;CER = (0 + 0 + 1) / 11
test008_2.jpg;AA 1997 FE;AA·1997·FE;0.2;CER = (2 + 0 + 0) / 10
test009_1.jpg;H 8518 NA;H·8518·ND;0.3333;CER = (3 + 0 + 0) / 9
test009_2.jpg;K 1649 GB;K 1649 GB;0.0;CER = (0 + 0 + 0) / 9
test010_1.jpg;B 9416 PCN;B 9416 PCN;0.0;CER = (0 + 0 + 0) / 10
test010_2.jpg;H 1147 UY;H 1147 UY;0.0;CER = (0 + 0 + 0) / 9
test011_1.jpg;H 1691 IL;H 1691 IL;0.0;CER = (0 + 0 + 0) / 9
test011_2.jpg;B 9374 RI;B-9374-RJ;0.3333;CER = (3 + 0 + 0) / 9
test011_3.jpg;D 1204 AIG;D 1204 AIG;0.0;CER = (0 + 0 + 0) / 10
test012_1.jpg;E 1887 BA;E 1887 BA;0.0;CER = (0 + 0 + 0) / 9
test013_1.jpg;B 1439 UZP;B 1439 UZP;0.0;CER = (0 + 0 + 0) / 10
test013_2.jpg;B 1128 WOS;B 1,128 W0S;0.2;CER = (1 + 0 + 1) / 10
test014_1.jpg;B 1388 DFX;B 1388 DFX;0.0;CER = (0 + 0 + 0) / 10
